positions for logger RockBLOCK 18950
2020-07-26 16:39:57 (UTC) : 81.03554 N, 11.747198333333333 E (DD) 8102.1324 N, 01144.8319 E (DMS)
2020-07-26 20:08:23 (UTC) : 81.03817333333333 N, 11.605068333333334 E (DD) 8102.2904 N, 01136.3041 E (DMS)
2020-07-26 23:36:36 (UTC) : 81.03285166666667 N, 11.467875 E (DD) 8101.9711 N, 01128.0725 E (DMS)
2020-07-27 03:04:50 (UTC) : 81.02949166666667 N, 11.326126666666667 E (DD) 8101.7695 N, 01119.5676 E (DMS)
2020-07-27 06:33:56 (UTC) : 81.03844 N, 11.257575 E (DD) 8102.3064 N, 01115.4545 E (DMS)
2020-07-27 10:03:20 (UTC) : 81.035335 N, 11.215328333333334 E (DD) 8102.1201 N, 01112.9197 E (DMS)
2020-07-27 13:32:31 (UTC) : 81.02923666666666 N, 11.127091666666667 E (DD) 8101.7542 N, 01107.6255 E (DMS)
2020-07-27 17:03:09 (UTC) : 81.01433833333333 N, 11.048541666666667 E (DD) 8100.8603 N, 01102.9125 E (DMS)
2020-07-27 20:07:45 (UTC) : 81.00740833333333 N, 11.011981666666667 E (DD) 8100.4445 N, 01100.7189 E (DMS)
2020-07-27 23:36:00 (UTC) : 80.99941833333334 N, 10.997416666666666 E (DD) 8059.9651 N, 01059.8450 E (DMS)
2020-07-28 03:04:20 (UTC) : 80.98297666666667 N, 10.972415 E (DD) 8058.9786 N, 01058.3449 E (DMS)
2020-07-28 06:32:55 (UTC) : 80.97694333333334 N, 10.961865 E (DD) 8058.6166 N, 01057.7119 E (DMS)
2020-07-28 10:01:45 (UTC) : 80.96608833333333 N, 11.047638333333333 E (DD) 8057.9653 N, 01102.8583 E (DMS)
2020-07-28 13:30:43 (UTC) : 80.94715833333333 N, 11.034206666666666 E (DD) 8056.8295 N, 01102.0524 E (DMS)
2020-07-28 16:59:49 (UTC) : 80.93912333333333 N, 11.027385 E (DD) 8056.3474 N, 01101.6431 E (DMS)
2020-07-28 20:28:45 (UTC) : 80.92874166666667 N, 11.105743333333333 E (DD) 8055.7245 N, 01106.3446 E (DMS)
2020-07-28 23:57:24 (UTC) : 80.92453666666667 N, 11.181675 E (DD) 8055.4722 N, 01110.9005 E (DMS)
2020-07-29 03:25:44 (UTC) : 80.921145 N, 11.251245 E (DD) 8055.2687 N, 01115.0747 E (DMS)
2020-07-29 06:31:21 (UTC) : 80.91856666666666 N, 11.37118 E (DD) 8055.1140 N, 01122.2708 E (DMS)
2020-07-29 09:59:36 (UTC) : 80.9204 N, 11.467081666666667 E (DD) 8055.2240 N, 01128.0249 E (DMS)
2020-07-29 13:28:03 (UTC) : 80.92744666666667 N, 11.544126666666667 E (DD) 8055.6468 N, 01132.6476 E (DMS)
2020-07-29 16:57:51 (UTC) : 80.93109833333334 N, 11.585235 E (DD) 8055.8659 N, 01135.1141 E (DMS)
2020-07-29 20:27:00 (UTC) : 80.93857666666666 N, 11.6213 E (DD) 8056.3146 N, 01137.2780 E (DMS)
2020-07-29 23:55:58 (UTC) : 80.954305 N, 11.650903333333334 E (DD) 8057.2583 N, 01139.0542 E (DMS)
2020-07-30 03:24:55 (UTC) : 80.968525 N, 11.641333333333334 E (DD) 8058.1115 N, 01138.4800 E (DMS)
2020-07-30 06:53:57 (UTC) : 80.98216666666667 N, 11.622403333333333 E (DD) 8058.9300 N, 01137.3442 E (DMS)
2020-07-30 10:23:18 (UTC) : 80.98982 N, 11.587485 E (DD) 8059.3892 N, 01135.2491 E (DMS)
2020-07-30 13:52:13 (UTC) : 80.99574833333334 N, 11.555135 E (DD) 8059.7449 N, 01133.3081 E (DMS)
2020-07-30 17:20:45 (UTC) : 81.000095 N, 11.466048333333333 E (DD) 8100.0057 N, 01127.9629 E (DMS)
2020-07-30 20:50:32 (UTC) : 81.00774666666666 N, 11.438191666666667 E (DD) 8100.4648 N, 01126.2915 E (DMS)
2020-07-31 00:18:49 (UTC) : 81.01710166666666 N, 11.467856666666666 E (DD) 8101.0261 N, 01128.0714 E (DMS)
2020-07-31 03:47:02 (UTC) : 81.024585 N, 11.44102 E (DD) 8101.4751 N, 01126.4612 E (DMS)
2020-07-31 06:50:24 (UTC) : 81.03185333333333 N, 11.437066666666666 E (DD) 8101.9112 N, 01126.2240 E (DMS)
2020-07-31 09:53:38 (UTC) : 81.03779333333334 N, 11.438063333333334 E (DD) 8102.2676 N, 01126.2838 E (DMS)
2020-07-31 13:22:35 (UTC) : 81.034 N, 11.429058333333334 E (DD) 8102.0400 N, 01125.7435 E (DMS)
2020-07-31 16:50:59 (UTC) : 81.04004666666667 N, 11.347545 E (DD) 8102.4028 N, 01120.8527 E (DMS)
2020-07-31 20:19:15 (UTC) : 81.04739666666667 N, 11.332885 E (DD) 8102.8438 N, 01119.9731 E (DMS)
2020-07-31 23:47:26 (UTC) : 81.05519666666666 N, 11.369158333333333 E (DD) 8103.3118 N, 01122.1495 E (DMS)
2020-08-01 03:15:37 (UTC) : 81.06472833333333 N, 11.388573333333333 E (DD) 8103.8837 N, 01123.3144 E (DMS)
2020-08-01 06:43:52 (UTC) : 81.06889833333334 N, 11.353661666666667 E (DD) 8104.1339 N, 01121.2197 E (DMS)
2020-08-01 13:04:17 (UTC) : 81.07105666666666 N, 11.305058333333333 E (DD) 8104.2634 N, 01118.3035 E (DMS)
2020-08-01 16:33:56 (UTC) : 81.07130666666667 N, 11.258223333333333 E (DD) 8104.2784 N, 01115.4934 E (DMS)
2020-08-01 20:02:56 (UTC) : 81.07212666666666 N, 11.212125 E (DD) 8104.3276 N, 01112.7275 E (DMS)
2020-08-01 23:31:07 (UTC) : 81.07481333333334 N, 11.204043333333333 E (DD) 8104.4888 N, 01112.2426 E (DMS)
2020-08-02 02:59:17 (UTC) : 81.08458 N, 11.24321 E (DD) 8105.0748 N, 01114.5926 E (DMS)
2020-08-02 06:27:29 (UTC) : 81.091895 N, 11.283035 E (DD) 8105.5137 N, 01116.9821 E (DMS)
2020-08-02 09:56:29 (UTC) : 81.08675166666667 N, 11.300431666666666 E (DD) 8105.2051 N, 01118.0259 E (DMS)
2020-08-02 13:25:34 (UTC) : 81.07333833333334 N, 11.240781666666667 E (DD) 8104.4003 N, 01114.4469 E (DMS)
2020-08-02 16:54:42 (UTC) : 81.07297833333334 N, 11.159531666666666 E (DD) 8104.3787 N, 01109.5719 E (DMS)
2020-08-02 20:25:07 (UTC) : 81.07173 N, 11.122585 E (DD) 8104.3038 N, 01107.3551 E (DMS)
2020-08-02 23:28:27 (UTC) : 81.06575333333333 N, 11.111288333333333 E (DD) 8103.9452 N, 01106.6773 E (DMS)
2020-08-03 02:31:33 (UTC) : 81.07099666666667 N, 11.077516666666666 E (DD) 8104.2598 N, 01104.6510 E (DMS)
2020-08-03 06:00:15 (UTC) : 81.082855 N, 11.003335 E (DD) 8104.9713 N, 01100.2001 E (DMS)
2020-08-03 09:28:30 (UTC) : 81.09530333333333 N, 10.97134 E (DD) 8105.7182 N, 01058.2804 E (DMS)
2020-08-03 12:56:47 (UTC) : 81.09130166666667 N, 10.962666666666667 E (DD) 8105.4781 N, 01057.7600 E (DMS)
2020-08-03 16:25:04 (UTC) : 81.092755 N, 10.840861666666667 E (DD) 8105.5653 N, 01050.4517 E (DMS)
2020-08-03 19:53:22 (UTC) : 81.10775833333334 N, 10.790083333333333 E (DD) 8106.4655 N, 01047.4050 E (DMS)
2020-08-03 23:21:35 (UTC) : 81.11163166666667 N, 10.78127 E (DD) 8106.6979 N, 01046.8762 E (DMS)
2020-08-04 02:50:29 (UTC) : 81.11173333333333 N, 10.798703333333334 E (DD) 8106.7040 N, 01047.9222 E (DMS)
2020-08-04 06:19:26 (UTC) : 81.12157833333333 N, 10.715956666666667 E (DD) 8107.2947 N, 01042.9574 E (DMS)
2020-08-04 09:47:56 (UTC) : 81.12650666666667 N, 10.702238333333334 E (DD) 8107.5904 N, 01042.1343 E (DMS)
2020-08-04 13:16:39 (UTC) : 81.110625 N, 10.648065 E (DD) 8106.6375 N, 01038.8839 E (DMS)
2020-08-04 16:45:04 (UTC) : 81.11048833333334 N, 10.469923333333334 E (DD) 8106.6293 N, 01028.1954 E (DMS)
2020-08-04 20:14:07 (UTC) : 81.121715 N, 10.427123333333334 E (DD) 8107.3029 N, 01025.6274 E (DMS)
2020-08-04 23:42:59 (UTC) : 81.112925 N, 10.445276666666667 E (DD) 8106.7755 N, 01026.7166 E (DMS)
2020-08-05 03:11:49 (UTC) : 81.094605 N, 10.348983333333333 E (DD) 8105.6763 N, 01020.9390 E (DMS)
2020-08-05 06:39:57 (UTC) : 81.10138833333333 N, 10.235151666666667 E (DD) 8106.0833 N, 01014.1091 E (DMS)
2020-08-05 10:08:06 (UTC) : 81.093075 N, 10.257608333333334 E (DD) 8105.5845 N, 01015.4565 E (DMS)
2020-08-05 13:37:03 (UTC) : 81.06342333333333 N, 10.17378 E (DD) 8103.8054 N, 01010.4268 E (DMS)
2020-08-05 17:05:18 (UTC) : 81.05896833333334 N, 10.019908333333333 E (DD) 8103.5381 N, 01001.1945 E (DMS)
2020-08-05 20:33:29 (UTC) : 81.05657166666667 N, 10.023788333333334 E (DD) 8103.3943 N, 01001.4273 E (DMS)
2020-08-06 00:01:40 (UTC) : 81.03427333333333 N, 9.982306666666666 E (DD) 8102.0564 N, 00958.9384 E (DMS)
2020-08-06 03:29:47 (UTC) : 81.02848333333333 N, 9.957885 E (DD) 8101.7090 N, 00957.4731 E (DMS)
2020-08-06 06:58:05 (UTC) : 81.02983666666667 N, 10.027478333333333 E (DD) 8101.7902 N, 01001.6487 E (DMS)
2020-08-06 10:26:42 (UTC) : 81.01077 N, 10.024035 E (DD) 8100.6462 N, 01001.4421 E (DMS)
2020-08-06 13:56:17 (UTC) : 80.99055 N, 9.96315 E (DD) 8059.4330 N, 00957.7890 E (DMS)
2020-08-06 17:24:54 (UTC) : 80.98473666666666 N, 9.867266666666668 E (DD) 8059.0842 N, 00952.0360 E (DMS)
2020-08-06 20:53:29 (UTC) : 80.98501 N, 9.868493333333333 E (DD) 8059.1006 N, 00952.1096 E (DMS)
